0,8.1390
10,4.7985
20,4.6768
30,4.3547
40,4.1002
50,4.0416
60,4.0089
70,3.9476
80,3.7368
90,3.7292
100,3.7151
110,3.5563
120,3.6105
130,3.6593
140,3.4360
150,3.3981
160,3.4882
170,3.3717
180,3.3413
190,3.4275
200,3.3501
210,3.3577
220,3.3129
230,3.1560
240,3.2886
250,3.4118
260,3.2210
270,3.2050
280,3.1586
290,3.2801
300,3.1454
310,3.2084
320,3.1154
330,3.1590
340,3.0894
350,3.1051
360,3.1022
370,3.1189
380,3.0558
390,2.8851
400,3.1496
410,2.9575
420,3.0823
430,2.9453
440,3.0375
450,3.0514
460,3.0285
470,2.9879
480,3.0145
490,2.8735
500,2.9552
510,3.0892
520,2.8644
530,2.9414
540,3.0312
550,2.8176
560,2.8791
570,2.9627
580,2.8663
590,2.9843
600,2.9804
610,2.9135
620,2.7887
630,2.8091
640,2.7451
650,2.8483
660,2.8718
670,2.8966
680,2.8312
690,2.7170
700,2.8389
710,2.8249
720,2.6195
730,2.8052
740,2.6940
750,2.7150
760,2.6955
770,2.8094
780,2.8364
790,2.7167
800,2.7930
810,2.8067
820,2.7472
830,2.7197
840,2.6790
850,2.6818
860,2.8702
870,2.6737
880,2.7224
890,2.8655
900,2.7371
910,2.7066
920,3.0263
930,2.5846
940,2.5411
950,2.5625
960,2.5353
970,2.6103
980,2.6230
990,2.5132
1000,2.4592
1010,2.6193
1020,2.6046
1030,2.8098
1040,2.5496
1050,2.5810
1060,2.4925
1070,2.6052
1080,2.5090
1090,2.4935
1100,2.6097
1110,2.5963
1120,2.5773
1130,2.5614
1140,2.5328
1150,2.4772
1160,2.5973
1170,2.5475
1180,2.5954
1190,2.5854
1200,2.4816
1210,2.6346
1220,2.5577
1230,2.7554
1240,2.3538
1250,2.4700
1260,2.5832
1270,2.4167
1280,2.6146
1290,2.4051
1300,2.4283
1310,2.5065
1320,2.3184
1330,2.5345
1340,2.4939
1350,2.3367
1360,2.4074
1370,2.5550
1380,2.4911
1390,2.4564
1400,2.2858
1410,2.5814
1420,2.3804
1430,2.3541
1440,2.4787
1450,2.4041
1460,2.5490
1470,2.4587
1480,2.4500
1490,2.5451
1500,2.4416
1510,2.2806
1520,2.4914
1530,2.4234
1540,2.4121
